Model,TBS2074B
Firmware Version,v1.32.136

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,3.2e-06,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.2
Label,,
TIME,CH1,CH2
-3.200e-03,-0.46,-0.32
-3.197e-03,-0.46,-0.32
-3.194e-03,-0.46,-0.312
-3.190e-03,-0.44,-0.32
-3.187e-03,-0.46,-0.32
-3.184e-03,-0.46,-0.32
-3.181e-03,-0.46,-0.312
-3.178e-03,-0.46,-0.312
-3.174e-03,-0.46,-0.32
-3.171e-03,-0.44,-0.312
-3.168e-03,-0.44,-0.312
-3.165e-03,-0.44,-0.312
-3.162e-03,-0.44,-0.304
-3.158e-03,-0.44,-0.304
-3.155e-03,-0.44,-0.304
-3.152e-03,-0.44,-0.304
-3.149e-03,-0.44,-0.304
-3.146e-03,-0.44,-0.304
-3.142e-03,-0.44,-0.296
-3.139e-03,-0.44,-0.296
-3.136e-03,-0.42,-0.296
-3.133e-03,-0.44,-0.296
-3.130e-03,-0.42,-0.296
-3.126e-03,-0.42,-0.288
-3.123e-03,-0.42,-0.296
-3.120e-03,-0.42,-0.288
-3.117e-03,-0.4,-0.28
-3.114e-03,-0.4,-0.28
-3.110e-03,-0.42,-0.28
-3.107e-03,-0.42,-0.28
-3.104e-03,-0.4,-0.272
-3.101e-03,-0.4,-0.272
-3.098e-03,-0.4,-0.272
-3.094e-03,-0.38,-0.272
-3.091e-03,-0.38,-0.264
-3.088e-03,-0.4,-0.264
-3.085e-03,-0.38,-0.256
-3.082e-03,-0.38,-0.256
-3.078e-03,-0.36,-0.256
-3.075e-03,-0.36,-0.248
-3.072e-03,-0.36,-0.248
-3.069e-03,-0.36,-0.248
-3.066e-03,-0.36,-0.24
-3.062e-03,-0.34,-0.24
-3.059e-03,-0.34,-0.232
-3.056e-03,-0.36,-0.232
-3.053e-03,-0.34,-0.232
-3.050e-03,-0.34,-0.232
-3.046e-03,-0.32,-0.224
-3.043e-03,-0.32,-0.224
-3.040e-03,-0.32,-0.216
-3.037e-03,-0.3,-0.208
-3.034e-03,-0.3,-0.208
-3.030e-03,-0.3,-0.208
-3.027e-03,-0.3,-0.2
-3.024e-03,-0.3,-0.2
-3.021e-03,-0.3,-0.2
-3.018e-03,-0.28,-0.192
-3.014e-03,-0.28,-0.192
-3.011e-03,-0.28,-0.184
-3.008e-03,-0.26,-0.184
-3.005e-03,-0.26,-0.176
-3.002e-03,-0.26,-0.176
-2.998e-03,-0.24,-0.176
-2.995e-03,-0.24,-0.168
-2.992e-03,-0.24,-0.168
-2.989e-03,-0.24,-0.16
-2.986e-03,-0.22,-0.152
-2.982e-03,-0.22,-0.152
-2.979e-03,-0.22,-0.144
-2.976e-03,-0.22,-0.136
-2.973e-03,-0.2,-0.136
-2.970e-03,-0.2,-0.136
-2.966e-03,-0.18,-0.128
-2.963e-03,-0.18,-0.128
-2.960e-03,-0.18,-0.12
-2.957e-03,-0.18,-0.112
-2.954e-03,-0.16,-0.112
-2.950e-03,-0.16,-0.112
-2.947e-03,-0.16,-0.112
-2.944e-03,-0.14,-0.096
-2.941e-03,-0.14,-0.096
-2.938e-03,-0.14,-0.088
-2.934e-03,-0.14,-0.088
-2.931e-03,-0.12,-0.08
-2.928e-03,-0.12,-0.08
-2.925e-03,-0.12,-0.072
-2.922e-03,-0.1,-0.064
-2.918e-03,-0.12,-0.064
-2.915e-03,-0.1,-0.056
-2.912e-03,-0.08,-0.056
-2.909e-03,-0.08,-0.048
-2.906e-03,-0.08,-0.048
-2.902e-03,-0.06,-0.04
-2.899e-03,-0.06,-0.04
-2.896e-03,-0.04,-0.032
-2.893e-03,-0.04,-0.032
-2.890e-03,-0.04,-0.024
-2.886e-03,-0.04,-0.016
-2.883e-03,-0.02,-0.016
-2.880e-03,-0.02,-0.008
-2.877e-03,-0.02,-0.008
-2.874e-03,0,0
-2.870e-03,0,0.008
-2.867e-03,0,0.008
-2.864e-03,0,0.016
-2.861e-03,0.02,0.016
-2.858e-03,0.02,0.024
-2.854e-03,0.02,0.024
-2.851e-03,0.04,0.032
-2.848e-03,0.04,0.04
-2.845e-03,0.06,0.04
-2.842e-03,0.06,0.048
-2.838e-03,0.06,0.048
-2.835e-03,0.08,0.056
-2.832e-03,0.08,0.056
-2.829e-03,0.1,0.064
-2.826e-03,0.1,0.072
-2.822e-03,0.1,0.072
-2.819e-03,0.12,0.08
-2.816e-03,0.12,0.08
-2.813e-03,0.12,0.088
-2.810e-03,0.14,0.096
-2.806e-03,0.14,0.096
-2.803e-03,0.14,0.096
-2.800e-03,0.16,0.104
-2.797e-03,0.16,0.104
-2.794e-03,0.16,0.112
-2.790e-03,0.16,0.12
-2.787e-03,0.16,0.12
-2.784e-03,0.18,0.12
-2.781e-03,0.18,0.128
-2.778e-03,0.2,0.136
-2.774e-03,0.2,0.136
-2.771e-03,0.22,0.144
-2.768e-03,0.22,0.144
-2.765e-03,0.22,0.152
-2.762e-03,0.22,0.16
-2.758e-03,0.24,0.16
-2.755e-03,0.24,0.168
-2.752e-03,0.24,0.168
-2.749e-03,0.24,0.168
